ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF216KLB	HepG2	ZFP91	A549	2959575	18142	25000	42389	10061	344
ENCFF216VXG	HepG2	ZNF580	A549	2959575	18142	25000	22488	5650	170
ENCFF217LXF	K562	SMARCB1	A549	2959575	18142	25000	2394	289	18
ENCFF217MBF	K562	SRSF7	A549	2959575	18142	25000	256	93	1
ENCFF217STG	HepG2	EEA1	A549	2959575	18142	25000	9304	3357	66
ENCFF217XUD	HepG2	GABPB1	A549	2959575	18142	25000	42527	10957	336
ENCFF219NIA	K562	ZNF740	A549	2959575	18142	25000	8097	2267	63
ENCFF220RUS	MCF-7	SIN3A	A549	2959575	18142	25000	30627	9259	229
ENCFF221TRR	K562	E2F4	A549	2959575	18142	25000	5282	1790	40
ENCFF222FLQ	HepG2	SSRP1	A549	2959575	18142	25000	11983	2064	89
ENCFF222VDW	MCF-7	FOXK2	A549	2959575	18142	25000	1075	240	9
ENCFF223BRJ	MCF-7	ZNF579	A549	2959575	18142	25000	11964	2465	81
ENCFF224RFJ	HepG2	ZFP62	A549	2959575	18142	25000	1445	632	15
