ENCFF	ChIP-CellLine	TF-Target	Enh-CellLine	Total_Bin_Size	Enh_Bin_Size	Rand_Bind_Size	TotalPeaks	PeakOverlap	PeakOverlap_Rand
ENCFF496SMN	HepG2	PCBP1	K562	2959575	15496	25000	11643	1356	84
ENCFF496YJC	K562	BCLAF1	K562	2959575	15496	25000	2094	903	14
ENCFF497ISV	K562	GATA2	K562	2959575	15496	25000	11454	4285	90
ENCFF497OQD	K562	FOXA1	K562	2959575	15496	25000	1013	287	8
ENCFF497RWP	HepG2	ZNF707	K562	2959575	15496	25000	6206	968	38
ENCFF497SIC	HepG2	FOSL1	K562	2959575	15496	25000	8687	1058	56
ENCFF499KOY	HepG2	ZBTB43	K562	2959575	15496	25000	18049	2105	155
ENCFF500BWO	K562	PURB	K562	2959575	15496	25000	381	35	5
ENCFF501HSY	HepG2	ZNF75D	K562	2959575	15496	25000	2464	342	21
ENCFF501XJP	K562	TEAD4	K562	2959575	15496	25000	35992	9139	295
ENCFF502QZR	HepG2	MTF1	K562	2959575	15496	25000	4319	666	37
ENCFF502SCY	HepG2	CC2D1A	K562	2959575	15496	25000	4458	636	33
ENCFF503IOR	HepG2	TRAFD1	K562	2959575	15496	25000	5505	827	44
ENCFF503UTF	HepG2	ZNF563	K562	2959575	15496	25000	19893	2387	165
ENCFF504CCV	HepG2	CCAR2	K562	2959575	15496	25000	2666	482	18
ENCFF505AEY	HepG2	ZSCAN20	K562	2959575	15496	25000	10225	1305	74
ENCFF505INE	K562	DMTF1	K562	2959575	15496	25000	5159	1513	52
ENCFF505RNR	K562	HNRNPK	K562	2959575	15496	25000	12337	789	97
ENCFF507JZI	A549	NR5A2	K562	2959575	15496	25000	21312	2758	149
ENCFF507RLU	A549	EHF	K562	2959575	15496	25000	6251	1062	37
ENCFF509GED	HepG2	SMYD3	K562	2959575	15496	25000	11985	1652	104
ENCFF509LCC	HepG2	NONO	K562	2959575	15496	25000	21037	2803	151
ENCFF509ZLE	K562	GATA1	K562	2959575	15496	25000	4602	2190	41
ENCFF510QJE	HepG2	MBD1	K562	2959575	15496	25000	13996	2073	108
ENCFF510SAT	HepG2	NR5A1	K562	2959575	15496	25000	29361	2198	234
ENCFF511SKA	A549	SMC3	K562	2959575	15496	25000	40216	3130	348
ENCFF514IUU	HepG2	ZNF770	K562	2959575	15496	25000	44115	3116	364
ENCFF515GUE	K562	CHAMP1	K562	2959575	15496	25000	12923	3905	102
